t	x	F(x)	F_approx	Error
4.88	-4.096	0.11142504760100695	0.11142504733314032	2.678666316535683e-10
4.89	-4.088	0.11096827017051787	0.11096826992659427	2.439236035378656e-10
4.9	-4.08	0.11050439080861489	0.11050439058839841	2.202164839371079e-10
4.91	-4.071999999999999	0.11003343920341889	0.11003343900665499	1.9676389684253337e-10
4.92	-4.064	0.10955544549567198	0.1095554453220873	1.7358467441219716e-10
4.93	-4.056	0.10907044027680819	0.10907044012611122	1.506969687925519e-10
4.94	-4.048	0.10857845458699589	0.10857845445887832	1.2811757210684505e-10
4.95	-4.039999999999999	0.10807951991315137	0.10807951980728817	1.0586320708938501e-10
4.96	-4.032	0.1075736681869236	0.1075736681029737	8.394990258508983e-11
4.97	-4.024	0.10706093178265026	0.10706093172025755	6.239271599373097e-11
4.98	-4.016	0.1065413435152861	0.10654134347407994	4.120616348135542e-11
4.99	-4.007999999999999	0.106014936638303	0.10601493661789885	2.0404150591346593e-11
5.0	-4.0	0.10548174484156152	0.1054817448415616	8.326672684688674e-17
5.01	-3.992	0.10494180224915453	0.10494180226914838	1.9993853794808558e-11
5.0200000000000005	-3.983999999999999	0.10439514341722342	0.10439514345678905	3.956562855123025e-11
5.03	-3.976	0.10384180333174732	0.10384180339045103	5.870370856086993e-11
5.04	-3.968	0.10328181740630257	0.10328181748370069	7.739811569429378e-11
5.05	-3.96	0.10271522147979728	0.10271522157543563	9.563834446613129e-11
5.0600000000000005	-3.951999999999999	0.10214205181417708	0.10214205192759272	1.1341563799227572e-10
5.07	-3.944	0.10156234509210543	0.10156234522282638	1.3072094795507638e-10
5.08	-3.936	0.10097613841461445	0.100976138562161	1.4754655830451213e-10
5.09	-3.928	0.10038346929873136	0.10038346946261635	1.6388498891295455e-10
5.1000000000000005	-3.919999999999999	0.09978437567507706	0.09978437585480673	1.7972967558677055e-10
5.11	-3.912	0.09917889588543946	0.09917889608051378	1.9507431781029538e-10
5.12	-3.904	0.0985670686803182	0.0985670688902316	2.0991340610176934e-10
5.13	-3.896	0.09794893321644554	0.09794893344068796	2.2424241630236708e-10
5.14	-3.888	0.09732452905428007	0.09732452929233674	2.3805667159759736e-10
5.15	-3.88	0.09669389615547515	0.09669389640682756	2.5135241110696427e-10
5.16	-3.872	0.0960570748803212	0.09605707514444774	2.6412654008378667e-10
5.17	-3.864	0.09541410598516233	0.09541410626153908	2.7637675481528845e-10
5.18	-3.856	0.09476503061978821	0.09476503090788906	2.881008487332082e-10
5.19	-3.848	0.0941098903248008	0.09410989062409816	2.9929736466982604e-10
5.2	-3.84	0.09344872702895554	0.0934487273389209	3.099653589355711e-10
5.21	-3.832	0.09278158304647752	0.09278158336658193	3.201044151968091e-10
5.22	-3.824	0.09210850107435377	0.09210850140406868	3.297149081538109e-10
5.23	-3.816	0.09142952418960087	0.09142952452839809	3.3879721250684725e-10
5.24	-3.808	0.09074469584650788	0.09074469619386022	3.4735234133442816e-10
5.25	-3.8	0.09005405987385484	0.09005406022923723	3.553823901825126e-10
5.26	-3.792	0.0893576604721081	0.08935766083499723	3.6288913540794e-10
5.2700000000000005	-3.784	0.08865554221059183	0.08865554258046694	3.6987511664587913e-10
5.28	-3.776	0.08794775002463526	0.08794775040097849	3.7634323435398187e-10
5.29	-3.768	0.08723432921269655	0.08723432959499378	3.822972216571685e-10
5.3	-3.76	0.08651532543346399	0.08651532582120493	3.877409365804496e-10
5.3100000000000005	-3.752	0.08579078470293419	0.08579078509561273	3.9267854246016753e-10
5.32	-3.7439999999999998	0.08506075339146676	0.08506075378858137	3.9711460508851104e-10
5.33	-3.7359999999999998	0.08432527822081629	0.08432527862187073	4.0105443965821053e-10
5.34	-3.7279999999999998	0.08358440626114248	0.08358440666564619	4.045037083066916e-10
5.3500000000000005	-3.7199999999999998	0.08283818492799805	0.0828381853354659	4.0746785112677486e-10
5.36	-3.7119999999999997	0.08208666197929375	0.08208666238924682	4.0995307148961047e-10
5.37	-3.7039999999999997	0.08132988551224164	0.08132988592420773	4.119660862444974e-10
5.38	-3.6959999999999997	0.08056790396027712	0.08056790437379084	4.1351372326303704e-10
5.39	-3.6879999999999997	0.07980076608995959	0.07980076650456289	4.1460329613940416e-10
5.4	-3.6799999999999997	0.07902852099785108	0.07902852141309288	4.152417992786539e-10
5.41	-3.6719999999999997	0.07825121810737373	0.07825121852281114	4.1543740669780505e-10
5.42	-3.6639999999999997	0.07746890716564701	0.07746890758084497	4.15197959346969e-10
5.43	-3.6559999999999997	0.07668163824030437	0.0766816386548367	4.14532325132555e-10
5.44	-3.6479999999999997	0.07588946171628845	0.07588946212973662	4.134481645934329e-10
5.45	-3.6399999999999997	0.07509242829262625	0.075092428704581	4.119547480918584e-10
5.46	-3.6319999999999997	0.07429058897918463	0.07429058938924606	4.100614292568139e-10
5.47	-3.6239999999999997	0.07348399509340614	0.07348399550118295	4.0777681231674023e-10
